"questionText","trlLevel","technologyType","category","TrlQuestions (Item)","ID","Created Date","Updated Date","Owner","toolTip"
"Industry feedback collected",6,"New Animal Breed (Aquatic and Terrestrial)","Industry Adoption Status","/trlquestions/new-animal-breed-(aquatic-and-terrestrial)","a79e3c9c-a45e-459f-8285-4957536cd4bd",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"First prototype/formulation created for sensory analysis",2,"Food, Food Ingredients and Beverages","Technology Status","/trlquestions/food%2C-food-ingredients-and-beverages","a7fe4bc5-bc3e-466e-9e87-b254230c529f",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Technology Commercialization Plan prepared",6,"Food, Food Ingredients and Beverages","Market and Commercialization Status","/trlquestions/food%2C-food-ingredients-and-beverages","a8541a67-6311-4b62-8814-e2499172d6e6",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Identified Potential industry Partner for Industry Testing",4,"Fertilizer and Pesticide (including Organic and Bio-based Products)","Industry Adoption Status","/trlquestions/fertilizer-and-pesticide-(including-organic-and-bio-based-products)","a8804f40-fc80-4be4-9e78-98dc93e41081",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Successful industry testing and validation",7,"Agri-Aqua Machinery and Facility","Technology Status","/trlquestions/agri-aqua-machinery-and-facility","a928f5d4-0205-4c52-8a34-656252b7beb0",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Identified Potential industry Partner for Industry Testing",4,"ICT (Apps and System involving IoT)","Industry Adoption Status","/trlquestions/ict-(apps-and-system-involving-iot)","a9ec45bd-5f56-4190-9ff8-7698b53aca13",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Scalable architecture validated under real-world usage",7,"ICT (Apps and System involving IoT)","Technology Status","/trlquestions/ict-(apps-and-system-involving-iot)","aabcf538-0f0e-42ed-8e9a-24a48f9c9cb2",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Initial experiments conducted in laboratory (benchscale)",2,"Animal Feed, Feed Ingredients and Animal Nutrition","Technology Status","/trlquestions/animal-feed%2C-feed-ingredients-and-animal-nutrition","ab253bd0-b0ab-4999-969c-e7f72d92ed09",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Proof of Potential Economic Viability",3,"Agri-Aqua Machinery and Facility","Market and Commercialization Status","/trlquestions/agri-aqua-machinery-and-facility","ab4682cd-1eb2-4e4e-96a3-a9b00c63994e",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Regulatory preparation for variety registration initiated",6,"New Plant Variety (Gene-Edited and GM)","Regulatory Compliance Status","/trlquestions/new-plant-variety-(gene-edited-and-gm)","ab4a97a8-8681-4998-949b-6e1106e15af1",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Proof of Potential Economic Viability",3,"Animal Biotechnology","Market and Commercialization Status","/trlquestions/animal-biotechnology","ab7e9f48-90ed-4890-a6b3-4838b5c70fa0",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Market Research conducted",4,"Animal Feed, Feed Ingredients and Animal Nutrition","Market and Commercialization Status","/trlquestions/animal-feed%2C-feed-ingredients-and-animal-nutrition","ac33b142-f42f-4381-8e6b-8af6dcd5ecf2",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Fairness Opinion Review requested",8,"Agri-Aqua Device and Diagnostic Kits","Market and Commercialization Status","/trlquestions/agri-aqua-device-and-diagnostic-kits","ad4aa337-84a1-48de-9dda-668c0b594575",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Passed Toxicity Evaluation",4,"Fertilizer and Pesticide (including Organic and Bio-based Products)","Technology Status","/trlquestions/fertilizer-and-pesticide-(including-organic-and-bio-based-products)","ad848e93-396c-4dd7-8196-ae24ff281fdb",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Agreements with industry parters for product testing secured",6,"Agri-Aqua Device and Diagnostic Kits","Industry Adoption Status","/trlquestions/agri-aqua-device-and-diagnostic-kits","ad9876a8-06a1-4ff0-942c-2c739ee7b6e6",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Initial meeting with potential industry partners",5,"New Animal Breed (Aquatic and Terrestrial)","Industry Adoption Status","/trlquestions/new-animal-breed-(aquatic-and-terrestrial)","adb0a7f4-6595-4b80-918e-8c4b40c51002",2026-02-03T08:26:38Z,2026-02-06T15:56:22Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Business Plan crafted",7,"Agri-Aqua Machinery and Facility","Market and Commercialization Status","/trlquestions/agri-aqua-machinery-and-facility","ae0c8ba9-ee82-4b63-ac6a-3e1d908291be",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Technology Licensing Terms Undergoing Negotiation",7,"New Plant Variety (Gene-Edited and GM)","Industry Adoption Status","/trlquestions/new-plant-variety-(gene-edited-and-gm)","ae41c3c0-aefa-4e74-b037-69e358fc4595",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Beta testing successfully conducted with select external users",5,"ICT (Apps and System involving IoT)","Technology Status","/trlquestions/ict-(apps-and-system-involving-iot)","aff7873b-52a3-4ee8-a466-200ac3c20f8f",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Product ready for full-scale commercial production (replicable without error)",8,"Fertilizer and Pesticide (including Organic and Bio-based Products)","Market and Commercialization Status","/trlquestions/fertilizer-and-pesticide-(including-organic-and-bio-based-products)","b0bbaca2-8b21-4a71-b26c-ac71a8e73165",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Initial experiments conducted in laboratory (benchscale)",2,"Fertilizer and Pesticide (including Organic and Bio-based Products)","Technology Status","/trlquestions/fertilizer-and-pesticide-(including-organic-and-bio-based-products)","b38fcd46-e784-4b9c-9ded-ffb1985b013e",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Meetings with potential industry partners",5,"Agri-Aqua Machinery and Facility","Industry Adoption Status","/trlquestions/agri-aqua-machinery-and-facility","b390ef82-e88c-4164-bc2d-4b16dd735466",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"IP Valuation Report Prepared",6,"Natural Resource & Derived Materials","Market and Commercialization Status","/trlquestions/natural-resource-%26-derived-materials","b4656194-bbe5-4653-909e-c7ee535172ff",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Market Research conducted",4,"Natural Resource & Derived Materials","Market and Commercialization Status","/trlquestions/natural-resource-%26-derived-materials","b4bc440b-29f0-4cba-9804-f594ca92e676",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Progeny produced and screened for presence of target traits",3,"New Animal Breed (Aquatic and Terrestrial)","Technology Status","/trlquestions/new-animal-breed-(aquatic-and-terrestrial)","b5002f7d-1b64-42d4-aaac-d513f565592d",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Variety officially registered and released",8,"New Plant Variety (Conventional)","Regulatory Compliance Status","/trlquestions/new-plant-variety-(conventional)","b53c50f2-9923-4a7f-91fb-8ae615972558",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Submitted to National Seed Industry Council (NSIC) or Department of Agriculture-Bureau of Plant Industry (DA-BPI) for variety testing",7,"New Plant Variety (Gene-Edited and GM)","Regulatory Compliance Status","/trlquestions/new-plant-variety-(gene-edited-and-gm)","b5f619fc-2c00-4df2-b50f-3d98830b8cbf",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Engagement with seed growers for seed multiplication tests",6,"New Plant Variety (Conventional)","Industry Adoption Status","/trlquestions/new-plant-variety-(conventional)","b6b23528-5c0f-415c-9a5e-d40625d65abb",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Product ready for full-scale commercial production (replicable without error)",8,"Animal Feed, Feed Ingredients and Animal Nutrition","Technology Status","/trlquestions/animal-feed%2C-feed-ingredients-and-animal-nutrition","b6f3416b-16d3-4cf3-ab2e-03e3ce737d24",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Standardized manual for industry-scale production established",7,"Fertilizer and Pesticide (including Organic and Bio-based Products)","Industry Adoption Status","/trlquestions/fertilizer-and-pesticide-(including-organic-and-bio-based-products)","b7619622-9c1c-4c51-8af1-e793f77254dd",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Agreements with industry parters for product testing secured",6,"Animal Feed, Feed Ingredients and Animal Nutrition","Industry Adoption Status","/trlquestions/animal-feed%2C-feed-ingredients-and-animal-nutrition","b779cf82-1b12-49e3-b66d-531609298b80",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"IP Valuation Report Prepared",6,"Agri-Aqua Device and Diagnostic Kits","Market and Commercialization Status","/trlquestions/agri-aqua-device-and-diagnostic-kits","b785df27-3b6e-4777-888a-0f2c6e344cdf",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Product promotion and packaging conducted",5,"Animal Feed, Feed Ingredients and Animal Nutrition","Market and Commercialization Status","/trlquestions/animal-feed%2C-feed-ingredients-and-animal-nutrition","b9086048-adde-405c-a035-26713bba9320",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Machine/Facility stable during pilot-scale operation",5,"Agri-Aqua Machinery and Facility","Technology Status","/trlquestions/agri-aqua-machinery-and-facility","ba313a1b-6043-4318-a09c-6b23a31fd0d0",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Initial meeting with potential industry partners",5,"Fertilizer and Pesticide (including Organic and Bio-based Products)","Industry Adoption Status","/trlquestions/fertilizer-and-pesticide-(including-organic-and-bio-based-products)","bc33c037-3f48-4356-ba2a-07e4078d8c41",2026-02-03T08:26:38Z,2026-02-06T15:55:35Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Potential users or target beneficiaries identified",1,"Animal Feed, Feed Ingredients and Animal Nutrition","Market and Commercialization Status","/trlquestions/animal-feed%2C-feed-ingredients-and-animal-nutrition","bc412a1c-52b8-4774-bd50-7329c90182a0",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Product formulation for scaled-up pilot production",5,"Fertilizer and Pesticide (including Organic and Bio-based Products)","Technology Status","/trlquestions/fertilizer-and-pesticide-(including-organic-and-bio-based-products)","bcbd9e3b-489d-4248-b237-37a6c4a9ee0f",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Proof of Potential Economic Viability",3,"New Plant Variety (Conventional)","Market and Commercialization Status","/trlquestions/new-plant-variety-(conventional)","bce97a2d-d2ee-49e5-9cc8-9241528e9907",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"System/application fully commercialized and available to target users",9,"ICT (Apps and System involving IoT)","Market and Commercialization Status","/trlquestions/ict-(apps-and-system-involving-iot)","bcec0585-cb97-4224-aa56-2983b074a52f",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Core system stable in limited commercial operations",6,"ICT (Apps and System involving IoT)","Technology Status","/trlquestions/ict-(apps-and-system-involving-iot)","bd410b29-19e8-4cd4-a981-4173d0e07b57",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Secure Letter of Intent for Licensing",7,"Agri-Aqua Device and Diagnostic Kits","Industry Adoption Status","/trlquestions/agri-aqua-device-and-diagnostic-kits","bf938bff-81d8-4677-83d2-b88c376ce734",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Multi-location testing conducted",6,"Agri-Aqua Machinery and Facility","Technology Status","/trlquestions/agri-aqua-machinery-and-facility","bfb05942-2b9f-4cfe-8cac-3d9f68cf6f0e",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Concept development completed or Prior Art Search Conducted",1,"Food, Food Ingredients and Beverages","Technology Status","/trlquestions/food%2C-food-ingredients-and-beverages","c011d282-281d-4aa1-9686-9ac72458aa84",2026-02-03T08:26:38Z,2026-02-05T12:44:56Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Product tested for scaled-up pilot production",6,"Animal Feed, Feed Ingredients and Animal Nutrition","Technology Status","/trlquestions/animal-feed%2C-feed-ingredients-and-animal-nutrition","c0ad1d9a-3133-4cbc-8f0e-47c41d001f12",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Preliminary market requirements considered (relevance, consumer/end-user needs)",2,"New Plant Variety (Gene-Edited and GM)","Market and Commercialization Status","/trlquestions/new-plant-variety-(gene-edited-and-gm)","c24b47aa-733a-4505-8cda-9c76e29958b4",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Multi-location Confined Field Trials Conducted",6,"New Plant Variety (Gene-Edited and GM)","Technology Status","/trlquestions/new-plant-variety-(gene-edited-and-gm)","c3a3f3e8-870d-4ce6-808e-3855f6739ee0",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Initial meeting with potential industry partners",5,"New Plant Variety (Conventional)","Industry Adoption Status","/trlquestions/new-plant-variety-(conventional)","c4b64ce5-323e-4849-a0e3-f07ea484d17c",2026-02-03T08:26:38Z,2026-02-06T15:56:30Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Intended application identified (e.g., construction, packaging, handicrafts)",2,"Natural Resource & Derived Materials","Market and Commercialization Status","/trlquestions/natural-resource-%26-derived-materials","c4fae236-0ed3-4032-a964-5f1c5eab7858",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Material formulation or composition defined",2,"Natural Resource & Derived Materials","Technology Status","/trlquestions/natural-resource-%26-derived-materials","c531b6d8-a160-42c7-9a4b-b32f4f38ff6d",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Technology fully commercialized/Product commercially available to target users",9,"Animal Feed, Feed Ingredients and Animal Nutrition","Market and Commercialization Status","/trlquestions/animal-feed%2C-feed-ingredients-and-animal-nutrition","c657ec2f-a840-4016-946d-5eed612807b3",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Standardized production protocol/manual established",7,"Natural Resource & Derived Materials","Technology Status","/trlquestions/natural-resource-%26-derived-materials","c715a556-87e3-45db-9152-fcd36ea39a48",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Initial assessment on the potential user",2,"Food, Food Ingredients and Beverages","Market and Commercialization Status","/trlquestions/food%2C-food-ingredients-and-beverages","c753f26a-6600-43a6-bbef-453803d2e394",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Meetings with potential industry partners",5,"Agri-Aqua Device and Diagnostic Kits","Industry Adoption Status","/trlquestions/agri-aqua-device-and-diagnostic-kits","c7f72ee2-4dcb-4368-9ef5-dd985ca63480",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Initial assessment on the potential user",2,"Animal Feed, Feed Ingredients and Animal Nutrition","Market and Commercialization Status","/trlquestions/animal-feed%2C-feed-ingredients-and-animal-nutrition","c81e3449-9147-4822-bb68-2df150b7fd31",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Technology Licensing Terms Negotiated",8,"New Plant Variety (Gene-Edited and GM)","Industry Adoption Status","/trlquestions/new-plant-variety-(gene-edited-and-gm)","ca35ffec-f14e-448d-ac2c-26a92ebb139d",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Positive experimental results on product efficacy under controlled conditions",4,"Fertilizer and Pesticide (including Organic and Bio-based Products)","Technology Status","/trlquestions/fertilizer-and-pesticide-(including-organic-and-bio-based-products)","cb0dce77-1e83-4845-b31b-e62e976bc1c7",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Successfully operated under laboratory-scale or controlled conditions",4,"Agri-Aqua Machinery and Facility","Technology Status","/trlquestions/agri-aqua-machinery-and-facility","cbb2162d-6dea-4b5d-8da4-029e0307bb7d",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Business Plan crafted",7,"Food, Food Ingredients and Beverages","Market and Commercialization Status","/trlquestions/food%2C-food-ingredients-and-beverages","ccd5d244-a3e9-48c4-ba6d-31df96ac89b7",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"First industry-scale production completed",6,"Fertilizer and Pesticide (including Organic and Bio-based Products)","Technology Status","/trlquestions/fertilizer-and-pesticide-(including-organic-and-bio-based-products)","ccdda382-dae6-4c83-afb7-503603a23365",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Accomplished Initial Business Model Canvas (BMC)",4,"Animal Feed, Feed Ingredients and Animal Nutrition","Market and Commercialization Status","/trlquestions/animal-feed%2C-feed-ingredients-and-animal-nutrition","ceee5fdc-1ce0-4a29-8e8c-a35f3e5baedc",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Potential users or target beneficiaries identified",1,"Agri-Aqua Device and Diagnostic Kits","Market and Commercialization Status","/trlquestions/agri-aqua-device-and-diagnostic-kits","cf551694-0192-4d5e-a7e4-4b66a3cc21df",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Product formulation for scaled-up pilot production",5,"Animal Feed, Feed Ingredients and Animal Nutrition","Technology Status","/trlquestions/animal-feed%2C-feed-ingredients-and-animal-nutrition","cfbacbce-b199-42f4-8e2b-f352f5475236",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Analytical performance confirmed (detection limits, repeatability, or reliability)",4,"Agri-Aqua Device and Diagnostic Kits","Technology Status","/trlquestions/agri-aqua-device-and-diagnostic-kits","d091afe6-8e5a-4ead-a03f-40ba9d1a1da2",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Internal/preliminary sensory screening conducted",2,"Food, Food Ingredients and Beverages","Technology Status","/trlquestions/food%2C-food-ingredients-and-beverages","d0f845a2-fe4b-45b7-9619-234e939dc1c5",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Accomplished Initial Business Model Canvas (BMC)",4,"Fertilizer and Pesticide (including Organic and Bio-based Products)","Market and Commercialization Status","/trlquestions/fertilizer-and-pesticide-(including-organic-and-bio-based-products)","d11a8187-26bb-46d9-9c49-1f6774e8eebc",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Fairness Opinion Review requested",8,"Animal Feed, Feed Ingredients and Animal Nutrition","Market and Commercialization Status","/trlquestions/animal-feed%2C-feed-ingredients-and-animal-nutrition","d145bc8d-eb0d-4f32-9dad-e250871a1dda",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Preliminary field trials conducted in controlled farm/aquaculture plots",5,"New Animal Breed (Aquatic and Terrestrial)","Technology Status","/trlquestions/new-animal-breed-(aquatic-and-terrestrial)","d1a145cc-2ad7-4940-8afc-24f0ad4ab72e",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Processing of Requirements for Data Privacy, Cybersecurity, or applicable ICT regulations Approval/Certification",7,"ICT (Apps and System involving IoT)","Regulatory Compliance Status","/trlquestions/ict-(apps-and-system-involving-iot)","d2a004ae-05bf-4f7a-b020-9e923d7a2adf",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Preliminary Assessment of Potential User",2,"Animal Biotechnology","Market and Commercialization Status","/trlquestions/animal-biotechnology","d2a3bbaa-64c2-4b40-b975-31554bd861fd",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Secure Letter of Intent for Licensing",7,"Agri-Aqua Machinery and Facility","Industry Adoption Status","/trlquestions/agri-aqua-machinery-and-facility","d3b196ed-ce7c-4477-8d34-555b4e681e17",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Initial market tests conducted (demonstration to farmers or distributors)",6,"Fertilizer and Pesticide (including Organic and Bio-based Products)","Market and Commercialization Status","/trlquestions/fertilizer-and-pesticide-(including-organic-and-bio-based-products)","d3f4205e-6d59-4759-a093-53e741af064a",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Regulatory preparation for variety registration initiated",6,"New Plant Variety (Conventional)","Regulatory Compliance Status","/trlquestions/new-plant-variety-(conventional)","d45218b8-f446-406a-93c3-2c66482af24b",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Accomplished Initial Business Model Canvas (BMC)",4,"ICT (Apps and System involving IoT)","Market and Commercialization Status","/trlquestions/ict-(apps-and-system-involving-iot)","d6413072-f23c-49ba-b3fa-d8b9808ab212",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Successful validation of industry-scale production",7,"Food, Food Ingredients and Beverages","Industry Adoption Status","/trlquestions/food%2C-food-ingredients-and-beverages","d689496f-4dcb-4692-9b90-27b42176c99b",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Genetic Modification Designs Developed (CRISPR/RNAi Constructs)",3,"New Plant Variety (Gene-Edited and GM)","Technology Status","/trlquestions/new-plant-variety-(gene-edited-and-gm)","d795fc10-9f92-4d95-b480-0e26d95ce46f",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Technology Commercialization Plan prepared",6,"Fertilizer and Pesticide (including Organic and Bio-based Products)","Market and Commercialization Status","/trlquestions/fertilizer-and-pesticide-(including-organic-and-bio-based-products)","d797b4fd-eb6b-4cdf-8389-7f7731bcc565",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Potential users or target beneficiaries identified",1,"ICT (Apps and System involving IoT)","Market and Commercialization Status","/trlquestions/ict-(apps-and-system-involving-iot)","d7b87ac2-6f09-43fc-bff7-16b3d11f0dad",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Biosfatey Permit Secured",6,"New Plant Variety (Gene-Edited and GM)","Regulatory Compliance Status","/trlquestions/new-plant-variety-(gene-edited-and-gm)","d870bc7a-acf3-4c11-8bcd-525d2b85c7b7",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Product validated through target consumer sensory testing",4,"Food, Food Ingredients and Beverages","Technology Status","/trlquestions/food%2C-food-ingredients-and-beverages","d8b5b68e-acc6-4bc5-a594-34fc9c56e4f6",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Initial meeting with potential industry partners",5,"ICT (Apps and System involving IoT)","Industry Adoption Status","/trlquestions/ict-(apps-and-system-involving-iot)","da0b9d10-8fe3-49a2-b586-907a6319c493",2026-02-03T08:26:38Z,2026-02-06T15:56:03Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Stable and consistent seed/plant production at industry scale achieved",8,"New Plant Variety (Conventional)","Technology Status","/trlquestions/new-plant-variety-(conventional)","da56817b-ebc1-4e05-9d0e-3130126e0c32",2026-02-03T08:26:38Z,2026-02-08T05:39:45Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Technology Commercialization Plan prepared",6,"Natural Resource & Derived Materials","Market and Commercialization Status","/trlquestions/natural-resource-%26-derived-materials","db143336-6942-414a-83b3-3cad9a81ba10",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Pilot-scale material production conducted",5,"Natural Resource & Derived Materials","Technology Status","/trlquestions/natural-resource-%26-derived-materials","db2c1508-22de-4d06-b4e3-3629e23b54d8",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
